words,label
"realistically, daughter, quietly, recently, awakening, dwells, rumbling, reid, death, drama, job, gratuitous, may, children, bed, heels, character, uncomfortable, husbands, carpenter, film, mid60s, sleepwalking, mother, young, mom, therefrom, avoiding, central, silent, better, possibly, grown, finds, convolutions, women, daughters, undercurrents, son, tenuous, arising, tells, attempts, soothe, excellent, issues, also, play, best, widowed, mature, dealing, adult, affair, antiseptic, empathize, b, audiences, somewhat, lover, passive, relationship, married, two, psychodramatic, sensationalism, needs, life",1
"warming, relax, movie, bunch, recommend, looking, see, night, ran, love, family, story, cute, great, friend, enjoy, get, violence, dance, girlfriend, girls, video, would, store",1
"even, spine, gets, c, roles, crazy, bogosians, supporting, ashamed, makes, finest, shame, fearless, attention, bone, calls, mcginleydr, heavy, use, rare, defy, eric, barry, kudos, agree, fast, 360, kind, make, ignored, conversations, along, pankow, best, listeners, intense, drives, cinematic, crucial, get, deep, plays, find, clichédthe, like, say, micheal, kill, girlfriend, unhinged, actor, studied, comment, put, heartracing, alec, people, closeups, generations, viewer, fantastic, classic, compelling, radio, shot, crazed, metaller, brilliantly, work, film, cast, today, opinions, ran, mesmerising, sometimes, criticised, receiving, performance, stu, dont, speech, extreme, set, stone, dvd, shockingthe, enjoy, saying, seem, role, moment, champlainor, much, big, including, talk, breathtaking, stones, wincott, champlains, true, john, leslie, doesnt, let, cuts, person, would, becomes, th, brilliant, probably, legalise, known, rape, bad, sleazy, suits, anyone, scene, withthe, trying, underrated, godone, drugs, opinion, disturbing, final, seemed, claustrophobia, discovery, scenes, films, danalec, allow, formulaic, piece, tension, richly, times, extremely, siege, inventive, days, studio, scrubs, might, well, kent, used, entranced, students, t2, agreeing, three, still, monologue, speeches, champlain, arguments, baldwin, remains, freedom, barrys, outside, deserves, hope24as, 10, commentary, thisbr, shuts, ridiculing, man, beginnings, directors, cox, told, course, entirely, 80s, didnt, see, things, totally, calm, contrived, stars, bogosian, nothing, ripe, hearing, unbearable, must, ring, powerful, jfkthis, villain, boss, city, chill, cinema, 2dear, bit, focus, hes, time, favours, himin",1
"even, emotive, defrocked, crazy, something, temporal, death, probably, christs, believe, framework, duty, tremendously, raised, silly, blood, character, formidable, madness, bad, turns, excellentbr, tortured, understandable, film, itbr, historybr, younger, quite, think, scene, , priest, morand, pierre, bizarre, fresnay, act, performance, converts, within, excellent, consecration, way, best, catholic, somebody, opposite, one, unpleasantbr, comes, back, polemic, well, say, accepted, perhaps, convert, cabaretbr, weaknesses, comments, terrible, shocking, acted, strange, wine, murder, actor",1
"put, book, together, davis, intensityit, first, seriously, single, least, read, louis, course, itshia, film, gives, every, heart, think, itthe, anyone, bookall, carefully, craftedtwo, loved, sachar, andrew, directed, lebouf, storyline, purposei, encourage, performance, interestingtheres, itand, booki, filmi, filmthe, set, absolutely, great, way, screenplayand, humor, everything, similar, wrote, started, find, well, bit, thumbs, cool, boringi",1
"even, afghani, bestmade, librarians, sense, details, characters, distinctive, found, terrifying, russian, ruined, movie, profound, impression, vitality, think, unknown, attendee, less, allowed, librarian, serious, make, track, captured, impact, know, experienced, new, prerelease, hollywood, violence, like, october, boys, recitation, poems, kites, carries, shocking, masterfully, nyla, two, handled, fleeing, privileged, overturned, small, amir, actors, fantastic, without, quoting, vibrationsound, urge, original, shown, release, flying, film, horrendous, dari, regarding, form, gives, subtitles, though, subject, graphic, cut, wonder, dont, mention, done, also, psyche, watching, although, plannedbr, much, finally, myspace, screening, event, implications, symbolism, intensely, help, human, kite, rumi, extent, language, cart, invasion, runner, excellence, rumis, line, truly, child, orange, whether, amazing, 18, rape, matter, york, library, poetry, every, anyone, scene, please, many, touches, notice, beauty, persian, main, note, world, films, one, grateful, normal, comparable, jarring, feel, heard, blog, fund, pomegranates, dialect, audience, grace, depiction, flyer, clockwork, comparison, mebr, power, emotions, concerns, see, night, kubriks, delayed, go, movies, cant, country, involved, must, overall, stanley, amount, welfare, listen, boy, associations, showed, actually, obvious, thursday, bit, competition, art, time, written, seen, circumstances, disregard, sound",1
"right, live, bridges, something, welleverything, lensa, reveal, makes, tobr, helps, ever, movie, haunting, false, least, seconded, endbr, multitude, see, benefits, jeff, tango, go, approach, months, surprising, till, want, away, subject, note, world, moviebr, come, rather, years, performances, best, everything, kevin, days, lens, question, one, maybe, back, dance, well, isnt, beliefs, unexpected, spacey, ending, perfect, moving, life",1
"even, gets, questionable, saw, together, except, villains, starts, plot, miss, clever, doctor, renaissance, surprise, werebr, fair, apparent, looking, use, secret, silencing, onbr, figure, better, strengths, eric, point, detectivesbr, agree, hero, sudden, channel, stories, words, almost, wasnt, story, stick, dorothy, able, new, tell, best, retitled, worthy, find, like, rivals, sherlock, upon, takes, despite, mystery, killer, dangerous, two, proper, detective, novels, people, last, called, getting, single, shown, warwick, originally, series, reader, add, later, film, little, victorian, poirot, onto, killed, 1980, 13br, dangers, set, moonstone, porter, evans, done, investigating, crime, dealing, increases, although, failing, hear, programs, whos, back, surprised, christie, hercule, station, john, masterpiece, would, 13, marple, version, joan, bad, york, ask, young, scene, suspect, 5, wimsey, episodes, rigid, lord, subsequently, aside, surround, films, nights, francesca, father, lengthy, hickson, rarely, heroine, boomerang, murkier, annis, question, one, trace, might, dialog, another, gielgud, suicide, holmes, appears, quite, coming, murder, james, long, clue, death, figures, television, title, sayers, investigation, man, charm, couple, pursue, spying, schedule, didnt, period, theater, peter, movements, productions, start, involved, telefilm, stores, chief, stumbling, city, based, novel, boy, dealt, showed, public, bit, dying, amateur, good, entertainment, time, bbc, warnings, motivations, edwardian, parts, british",1
"incident, side, controlled, may, supporting, usual, makes, porn, first, stallone, displayed, costumes, fashion, assaults, key, fair, rambo, gravitas, straight, particularly, screenplay, montana, ripping, mastrantonio, fantastically, stand, make, story, far, adds, thematic, great, way, manny, best, sure, made, camera, pacino, violence, mansion, say, shouting, however, cuban, fine, class, two, violent, georgio, bodies, puts, coke, sisterbr, actors, literally, fantastic, complain, glamor, without, getting, quiet, definitive, carlitos, later, film, cast, kills, production, end, pacinos, steven, schwarzenegger, finds, living, graphic, performance, killed, come, wonder, bullets, dated, hasnt, tony, stone, set, dominates, crumbles, debut, crime, strong, rate, saying, much, big, subtleties, sheer, excesses, hairstyles, doesnt, language, look, american, par, bauer, thanks, supported, sister, sort, score, integrity, soft, everywhere, horribly, top, 1983, brian, acting, ways, house, early, mean, many, loggia, drugs, notice, away, excessive, films, tonys, michelle, could, superb, suppose, pieces, friend, pfeiffer, losing, one, shouts, around, take, well, compliments, elizabeth, loses, godfather, still, palmas, stylish, scarface, gangster, excess, perfect, mary, coming, ended, accent, niro, america, blood, thing, brutal, lines, doubt, mistake, darker, direction, course, 80s, trademarks, music, downright, design, star, akin, soundtrack, go, going, de, tact, empire, dream, robert, chainsaw, amount, moroders, grandiose, dominant, watch, bit, screaming, time, workbr, worth, palma, video, shoot, oliver",1
"drive, together, decaying, albert, first, innumerable, movie, raccoons, mother, rare, edith, term, laugh, maysles, allowed, love, words, opossums, experience, new, edie, mansion, roommates, moving, cats, put, anarchy, niece, add, little, later, film, remember, living, jackie, come, hampton, shabby, result, big, room, account, true, sad, daughter, finding, david, ago, bonds, many, lives, freewill, bouvier, beauty, beale, filmmakers, inseparable, east, grey, relationship, still, life, hilarious, chic, day, several, camp, testament, example, unbreakable, recommend, see, yourselfbr, aunt, meaning, viewings, twisted, must, rulebr, years, whole, ive, bealebr, laughing, watch, gardens, determination, loud, strange, beautiful, 28, watched",1
